#Chromosome	Start	End	Gene	Transcript
chr1	65419	71585	OR4F5	NM_001005484.2
chr1	367659	368597	OR4F29	NM_001005221.2
chr1	621096	622034	OR4F16	NM_001005277.1
chr1	859303	879954	SAMD11	NM_001385641.1
chr1	879583	894636	NOC2L	NM_015658.4
chr1	895964	901099	KLHL17	NM_198317.3
chr1	901862	911245	PLEKHN1	NM_032129.3
chr1	910578	917473	PERM1	NM_001369897.1
chr1	934344	935477	HES4	NM_021170.4
chr1	948877	949920	ISG15	NM_005101.4
chr1	955500	991496	AGRN	NM_198576.4
chr1	1006347	1009686	RNF223	NM_001205252.2
chr1	1017203	1051469	C1orf159	NM_017891.5
chr1	1109260	1133316	TTLL10	NM_001130045.2
chr1	1138888	1141972	TNFRSF18	NM_004195.3
chr1	1146720	1149533	TNFRSF4	NM_003327.4
chr1	1152311	1167381	SDF4	NM_016176.6
chr1	1167617	1170421	B3GALT6	NM_080605.4
chr1	1177833	1182102	C1QTNF12	NM_001014980.3
chr1	1189292	1209234	UBE2J2	NM_058167.3
chr1	1215816	1227405	SCNN1D	NM_001130413.4
chr1	1227771	1243310	ACAP3	NM_030649.3
chr1	1243977	1247057	PUSL1	NM_153339.3
chr1	1246980	1260040	INTS11	NM_017871.6
chr1	1260182	1264276	CPTP	NM_001029885.2
chr1	1266660	1270694	TAS1R3	NM_152228.3
chr1	1270658	1284798	DVL1	NM_001330311.2
chr1	1288069	1298921	MXRA8	NM_032348.4
chr1	1309116	1310587	AURKAIP1	NM_017900.3
chr1	1321091	1334715	CCNL2	NM_030937.6
chr1	1337289	1342673	MRPL20	NM_017971.4
chr1	1353800	1356656	ANKRD65	NM_001145210.3
chr1	1361251	1365635	TMEM88B	NM_001146685.2
chr1	1371070	1378262	VWA1	NM_022834.5
chr1	1385069	1405543	ATAD3C	NM_001039211.3
chr1	1407145	1433228	ATAD3B	NM_031921.6
chr1	1447542	1470065	ATAD3A	NM_001170535.3
chr1	1470158	1476004	TMEM240	NM_001114748.2
chr1	1477053	1510243	SSU72	NM_014188.3
chr1	1533392	1535515	FNDC10	NM_001242659.2
chr1	1550795	1565990	MIB2	NM_080875.3
chr1	1567552	1570030	MMP23B	NM_006983.2
chr1	1570603	1590465	CDK11B	NM_033486.3
chr1	1592939	1624234	SLC35E2B	NM_001290264.2
chr1	1633818	1655796	CDK11A	NM_024011.4
chr1	1656277	1677509	SLC35E2A	NM_182838.3
chr1	1682671	1711470	NADK	NM_023018.5
chr1	1716725	1822526	GNB1	NM_002074.5
chr1	1846699	1848735	CALML6	NM_138705.4
chr1	1849030	1850718	TMEM52	NM_178545.4
chr1	1853396	1935225	CFAP74	NM_001304360.2
chr1	1950784	1962197	GABRD	NM_000815.5
chr1	1981850	2116834	PRKCZ	NM_002744.6
chr1	2115916	2144159	FAAP20	NM_182533.4
chr1	2159758	2241652	SKI	NM_003036.4
chr1	2252692	2322993	MORN1	NM_024848.3
chr1	2323280	2336875	RER1	NM_007033.5
chr1	2335413	2345266	PEX10	NM_002617.4
chr1	2398890	2436971	PLCH2	NM_014638.4
chr1	2439976	2458035	PANK4	NM_018216.4
chr1	2460184	2461702	HES5	NM_001010926.4
chr1	2487810	2495268	TNFRSF14	NM_003820.4
chr1	2517962	2522907	PRXL2B	NM_152371.5
chr1	2522078	2564455	MMEL1	NM_033467.4
chr1	2572708	2717433	TTC34	NM_001242672.2
chr1	2938031	2939467	ACTRT2	NM_080431.5
chr1	2985767	3355185	PRDM16	NM_022114.4
chr1	3371229	3397677	ARHGEF16	NM_014448.4
chr1	3404515	3528072	MEGF6	NM_001409.4
chr1	3541579	3546691	TPRG1L	NM_182752.4
chr1	3547334	3566667	WRAP73	NM_017818.4
chr1	3569080	3652765	TP73	NM_005427.4
chr1	3669014	3688209	CCDC27	NM_152492.3
chr1	3689313	3692520	SMIM1	NM_001288583.2
chr1	3695123	3713062	LRRC47	NM_020710.3
chr1	3728650	3773775	CEP104	NM_014704.4
chr1	3774040	3801993	DFFB	NM_004402.4
chr1	3805697	3816836	C1orf174	NM_207356.3
chr1	4714669	4852594	AJAP1	NM_018836.4
chr1	5922871	6052485	NPHP4	NM_015102.5
chr1	6052736	6161240	KCNAB2	NM_001199862.2
